Experties ID,Experties,Skills Include,Expertise Description
EXP-001,Analyst,,
EXP-003,Auditor,,
EXP-004,Administration,,
EXP-006,Business Continuity Management,,
EXP-008,Chemistry,,
EXP-010,Compliance Management,,
EXP-011,Consultant,,
EXP-013,Cyber Defence,,
EXP-014,Cyber Intelligence and Threat Management,,
EXP-019,Analyst,,
EXP-020,Cybersecurity & IAM,,
EXP-022,Cybersecurity Audit,,
EXP-026,Cybersecurity Defence,,
EXP-038,Cybersecurity Trainee,,
EXP-041,Data Management,,
EXP-046,Defence Analyst,,
EXP-050,Digital Crime Officer,,
EXP-051,Digital Forensic,,
EXP-055,Endpoint Protection,,
EXP-056,Engineer,,
EXP-058,General Manager,,
EXP-059,Governance,,
EXP-060,"Governance, Risk, and Compliance (GRC)",,
EXP-062,GRC Manager,,
EXP-063,GRC Specialist ,,
EXP-068,GRC Management,,
EXP-074,Information Officer,,
EXP-075,Information Security,,
EXP-076,Information Security GRC,,
EXP-080,Integration Developer,,
EXP-084,Lecturer,,
EXP-086,Management,,
EXP-087,Management Advisory,,
EXP-088,Manager Monitoring & Response,,
EXP-093,Network Management,,
EXP-094,Network Security,,
EXP-095,Network Specialist,,
EXP-097,Officer,,
EXP-100,Penetration Testing,,
EXP-102,Presales,,
EXP-107,Risk Specialist,,
EXP-109,Risk and Compliance,,
EXP-111,Risk Management,,
EXP-113,Research & Development,,
EXP-119,Security Assurance,,
EXP-120,Security Engineer,,
EXP-125,Security Specialist,,
EXP-128,SOC Analyst,,
EXP-130,SOC Management,,
EXP-134,Splunk Certified,,
EXP-139,Support Specialist,,
EXP-140,System Administrator,,
EXP-143,Technical Account Manager,,
EXP-144,Technical Assurance,,
EXP-149,Technician,,
EXP-151,Threat Discovery Specialist,,
EXP-152,Threat Intelligence,,
EXP-154,Vulnerability Management,,
EXP-156,Risk Analyst,,
EXP-162,IT Security,,
EXP-184,Information Technology,,
EXP-187,Penetration Testing Specialist,,
EXP-195,Compliance Analyst,,
EXP-199,GRC Consultant,,
EXP-200,Cybersecurity,,
EXP-203,Cloud Architect,,
EXP-204,Engineer,,
EXP-207,Advisory Committee,,
EXP-209,Architect,,
EXP-210,Asset Manager,,
EXP-211,Audit,,
EXP-212,Audit Manager,,
EXP-213,Audit Member,,
EXP-220,Compliance Lead,,
EXP-232,Cybersecurity GRC,,
EXP-234,Data Privacy,,
EXP-241,Digital Infrastructure,,
EXP-242,Digital Innovation Enterprise Architecture,,
EXP-244,Director,,
EXP-245,Engineer,,
EXP-246,Engineer & Architecture,,
EXP-248,GRC,,
EXP-252,GRC Head,,
EXP-255,Information Technology,,
EXP-260,Information Technology Infrastructure,,
EXP-262,Manager,,
EXP-271,Officer,,
EXP-274,Payment System,,
EXP-279,Project Management,,
EXP-283,RED Team Lead,,
EXP-292,SOC Operation,,
EXP-311,IT Security,,
EXP-316,Security Officer,,
EXP-351,Cyber Risk,,
EXP-357,Risk Officer,,
EXP-364,Information Technology,,
EXP-373,Security Manager,,
EXP-374,Operation Management,,
EXP-375,Information Officer,,
EXP-380,Security Associate,,
EXP-381,Information Technology Management,,
EXP-401,Professor,,
EXP-403,Compliance Specialist,,
