Industry ID,Industry,Sector
IND-001,"Appliances, Electrical, and Electronics Manufacturing",
IND-002,Artificial Intelligence,
IND-003,Banking,
IND-004,Business Consulting and Services,
IND-005,Capital Markets,
IND-006,Chemical Manufacturing,
IND-007,Computer and Network Security,
IND-008,Confidential,
IND-009,Construction,
IND-010,Education Administration Programs,
IND-011,E-Learning Providers,
IND-012,Electronics,
IND-013,Entertainment Providers,
IND-014,Financial Services,
IND-015,Government,
IND-016,Higher Education,
IND-017,Hospitality,
IND-018,Hospitals and Health Care,
IND-019,Human Resources,
IND-020,Information Technology,
IND-021,Insurance,
IND-022,IT Services and IT Consulting,
IND-023,Manufacturing,
IND-024,Merchant,
IND-025,Mining,
IND-026,Non-profit Organizations,
IND-027,Oil and Gas,
IND-028,Petroleum,
IND-029,Professional Services,
IND-030,Public Safety,
IND-031,Real Estate,
IND-032,Research and Development,
IND-033,Saudi Technology,
IND-034,SITE ,
IND-035,Software Development,
IND-036,"Technology, Information and Internet",
IND-037,Telecommunication,
IND-038,"Transportation, Logistics, Supply Chain and Storage",
IND-039,Utilities,
