Organization ID,Organization,Organization Address,Contact Number,Website Link
ORG-001,Accenture,,,
ORG-002,Accenture National Security Services LLC,,,
ORG-003,Advanced Petrochemical Company,,,
ORG-004,Air,,,
ORG-005,Al Moammar Information Systems Co,,,
ORG-006,Al Rajhi Bank,,,
ORG-007,Al-Imam Muhammad Ibn Saud Islamic University,,,
ORG-008,Alinma Bank,,,
ORG-009,AlJammaz Technologies,,,
ORG-010,Almarai,,,
ORG-012,American Express,,,
ORG-013,Arab National Bank,,,
ORG-014,Arabian Drilling,,,
ORG-015,Aramco,,,
ORG-016,Armed Forces Hospitals,,,
ORG-017,Bank Al Bilad,,,
ORG-018,Bank AlJazira,,,
ORG-019,Banque Saudi Fransi,,,
ORG-020,Bineyes,,,
ORG-021,Capital Market Authority,,,
ORG-022,Catchify,,,
ORG-023,Chubb,,,
ORG-024,Cipher,,,
ORG-025,CISCO,,,
ORG-026,COGNNA,,,
ORG-027,Confidential,,,
ORG-028,Cyber 50 Defense,,,
ORG-029,Cyberani Solutions,,,
ORG-030,Dimension Data,,,
ORG-031,Economic Cities and Special Zones Authority,,,
ORG-032,ECOVIS AL SABTI,,,
ORG-033,Elm Company,,,
ORG-034,EY - Ernst & Young,,,
ORG-035,Fidelis Security,,,
ORG-036,GCC Board Directors Institute (GCC BDI),,,
ORG-037,GlassHUB,,,
ORG-038,Group-IB,,,
ORG-039,Gulf Payments Company,,,
ORG-040,HABOOB,,,
ORG-041,"Help AG, an e& enterprise company",,,
ORG-042,Hitachi Energy,,,
ORG-043,HUMAIN,,,
ORG-044,IBM,,,
ORG-045,IKK Group Isam Khairi Kabbani Group,,,
ORG-046,Infratech Co,,,
ORG-047,International Systems Engineering,,,
ORG-048,KAFD,,,
ORG-049,Kaspersky,,,
ORG-050,King Abdulaziz City for Science and Technology,,,
ORG-051,King Fahd University of Petroleum & Minerals,,,
ORG-052,King Salman Energy Park (SPARK),,,
ORG-053,King Saud bin Abdulaziz University,,,
ORG-054,KPMG Saudi Arabia,,,
ORG-055,Lean Business Services,,,
ORG-056,Local Content And Government Procurement Authority,,,
ORG-057,Maaden,,,
ORG-058,Metatalent.ai,,,
ORG-059,Ministry of Communications and Information Technology,,,
ORG-060,Ministry of Culture,,,
ORG-061,Ministry of Energy,,,
ORG-062,Ministry of Hajj and Umrah,,,
ORG-063,Ministry of Industry and Mineral Resources,,,
ORG-064,Ministry of Interior,,,
ORG-065,Ministry of Interior UAE,,,
ORG-066,Ministry of Municipalities and Housing,,,
ORG-067,Mobily,,,
ORG-068,MonshaatSA,,,
ORG-069,My Fatoorah,,,
ORG-070,Najm Company for Insurance Services,,,
ORG-071,National Finance House,,,
ORG-072,National Information Center,,,
ORG-074,NEOM,,,
ORG-075,Nozom,,,
ORG-076,NTIS,,,
ORG-077,Obrela,,,
ORG-078,Osoul Modern Co,,,
ORG-079,PCI Security Standards Council,,,
ORG-080,Saudi Power Procurement Company,,,
ORG-081,Public Investment Fund,,,
ORG-082,Qiddiya,,,
ORG-083,Qualys,,,
ORG-084,Quara Finance,,,
ORG-085,Red Sea Development Company,,,
ORG-086,Red Sea Global,,,
ORG-087,Riyad Bank,,,
ORG-088,Riyadh Airports,,,
ORG-089,ROSHN,,,
ORG-090,SABIC,,,
ORG-091,Safe Decision Co. LLC,,,
ORG-092,SAL Saudi Logistics Services,,,
ORG-093,SAMA,,,
ORG-094,SAMI Advanced Electronics,,,
ORG-095,Saudi Air Navigation Services,,,
ORG-096,Saudi Awwal Bank,,,
ORG-097,Saudi Business Machine,,,
ORG-098,Saudi Central Bank,,,
ORG-099,Saudi Electricity Company,,,
ORG-100,Saudi Entertainment Ventures,,,
ORG-101,Saudi Industrial Development Fund - SIDF,,,
ORG-102,Saudi Investment Bank,,,
ORG-103,Saudi National Bank,,,
ORG-104,Saudi Tadawul Group,,,
ORG-105,Saudi Water Authority,,,
ORG-106,SDAIA,,,
ORG-107,Securenass,,,
ORG-108,Security Matterz,,,
ORG-109,Self Employed,,,
ORG-110,SETRA Saudi Electronic Trading & Contracting Company Ltd,,,
ORG-111,Sirar by STC,,,
ORG-112,SITE,,,
ORG-113,Social Development Bank,,,
ORG-115,STC,,,
ORG-116,STC Pay,,,
ORG-117,TAHAKOM,,,
ORG-118,Takamol Holding,,,
ORG-119,Tamer Group,,,
ORG-120,TAQEEM,,,
ORG-121,Tawuniya,,,
ORG-122,Team Saudi,,,
ORG-123,Technology Control Co.,,,
ORG-124,The Royal Commission for AlUla,,,
ORG-125,THIQAH,,,
ORG-126,Tiqmo,,,
ORG-127,Tools & Solutions,,,
ORG-128,Trellix,,,
ORG-129,Tuwaiq Academy,,,
ORG-130,Tweeq,,,
ORG-131,Wataniya,,,
ORG-132,Water Transmission and Technologies Co,,,
ORG-133,Yamama Cement,,,
ORG-134,Zain KSA,,,
ORG-135,ZainTECH,,,
